name,len
abdon,5
abel,4
abercjusz,9
abraham,7
absalon,7
achacjusz,9
achacy,6
achilles,8
ada,3
adalbert,8
adam,4
adamina,7
adaukt,6
addar,5
adela,5
adelajda,8
adelina,7
ado,3
adolf,5
adolfa,6
adolfina,8
adria,5
adrian,6
adriana,7
adrianna,8
afanazy,7
afrodyta,8
aga,3
agapit,6
agata,5
agaton,6
agatonik,8
agenor,6
ageusz,6
agnieszka,9
agrypina,8
aida,4
aisza,5
alan,4
alban,5
albaniusz,9
albert,6
alberta,7
albertyna,9
albin,5
albina,6
albrecht,8
aldona,6
aleksander,10
aleksandra,10
aleksy,6
alf,3
alfons,6
alfonsyna,9
alfred,6
alfreda,7
ali,3
alicja,6
alina,5
alma,4
alojza,6
alojzy,6
alpinian,8
amadea,6
amadeusz,8
amalia,6
amata,5
ambroży,7
amedeusz,8
amelia,6
amiceta,7
amin,4
amon,4
amos,4
ananiasz,8
anastazja,9
anastazy,8
anatol,6
anatolia,8
andonik,7
andromeda,9
andron,6
andrzej,7
aneta,5
angel,5
angela,6
angelika,8
angelina,8
angelus,7
anicet,6
aniceta,7
aniela,6
anita,5
anna,4
antoni,6
antonin,7
antonina,8
antym,5
anzelm,6
apolinary,9
apollo,6
apolonia,8
apoloniusz,10
areta,5
ariadna,7
ariel,5
ariela,6
arkadiusz,9
arkady,6
arleta,6
arletta,7
arnold,6
arnolf,6
aron,4
arseniusz,9
artemon,7
artur,5
artus,5
arystarch,9
aspazja,7
asteria,7
asteriusz,9
atanazja,8
atanazy,7
august,6
augusta,7
augustyn,8
augustyna,9
auksencjusz,11
aurela,6
aureli,6
aurelia,7
aurelian,8
aureliusz,9
aurora,6
axel,4
balbin,6
balbina,7
balcer,6
baltazar,8
barabasz,8
barbara,7
barnaba,7
bartłomiej,10
bartolomea,10
bartosz,7
bazyli,6
bazylid,7
bazylis,7
bazylissa,9
bazyliusz,9
będzimir,8
będzisław,9
będzisława,10
bean,4
beata,5
beatrice,8
beatrycze,9
beatryks,8
beatus,6
beda,4
